Symbol,Last,Net Change,Bid,Ask,Volume,Open Interest,Symbol,Last,Net Change,Bid,Ask,Volume,Open Interest
SPY1805A225,37.56,2.02,39.26,39.59,0,5,SPY1805M225,0.07,-0.03,0.07,0.08,101,4843
SPY1805A227.5,,,36.76,37.09,,0,SPY1805M227.5,0.08,-0.04,0.08,0.09,14,10
SPY1805A230,,,34.26,34.6,,0,SPY1805M230,0.11,0.02,0.09,0.1,10,26822
SPY1805A232.5,,,31.77,32.1,,0,SPY1805M232.5,0.11,-0.06,0.11,0.12,0,335
SPY1805A235,,,29.27,29.6,,0,SPY1805M235,0.14,-0.05,0.12,0.13,25,474
SPY1805A237.5,,,26.78,27.11,,0,SPY1805M237.5,0.22,0.01,0.14,0.16,0,76
SPY1805A240,,,24.28,24.61,,0,SPY1805M240,0.19,-0.11,0.17,0.18,72,53270
SPY1805A242.5,,,21.79,22.12,,0,SPY1805M242.5,0.22,-0.1,0.2,0.21,24,354
SPY1805A245,19.24,-0.21,19.3,19.63,0,5,SPY1805M245,0.27,-0.1,0.24,0.25,30,612
SPY1805A246,,,18.31,18.63,,0,SPY1805M246,0.3,-0.34,0.26,0.27,0,128
SPY1805A247,17.36,0.06,17.32,17.64,0,2,SPY1805M247,0.45,0.02,0.28,0.29,5,2631
SPY1805A247.5,,,16.82,17.14,,0,SPY1805M247.5,0.51,0.17,0.29,0.3,0,169
SPY1805A248,,,16.32,16.64,,0,SPY1805M248,0.33,-0.18,0.31,0.32,1,581
SPY1805A249,,,15.33,15.65,,0,SPY1805M249,0.53,-0.04,0.33,0.34,0,149
SPY1805A250,13.64,-2.66,14.35,14.66,0,20,SPY1805M250,0.4,-0.14,0.36,0.38,79,28095
SPY1805A251,11.01,0,13.36,13.67,0,1,SPY1805M251,0.44,-0.15,0.39,0.41,1,95
SPY1805A252,,,12.38,12.69,,0,SPY1805M252,0.69,-0.03,0.43,0.46,5,2229
SPY1805A252.5,8.6,0.35,11.9,12.2,0,152,SPY1805M252.5,0.62,-0.17,0.47,0.48,2,82
SPY1805A253,10.4,2.26,11.41,11.71,0,211,SPY1805M253,0.53,-0.25,0.48,0.51,7,2335
SPY1805A254,8.47,-2.05,10.44,10.74,0,314,SPY1805M254,0.56,-0.28,0.54,0.57,90,4856
SPY1805A255,11.41,1.38,9.48,9.77,0,248,SPY1805M255,0.64,-0.23,0.61,0.64,286,1352
SPY1805A256,9.09,0.12,8.53,8.81,0,383,SPY1805M256,0.75,-0.33,0.7,0.72,710,16266
SPY1805A257,7.94,-0.27,7.6,7.87,0,528,SPY1805M257,0.85,-0.3,0.8,0.83,49,1333
SPY1805A257.5,7.49,-0.7,7.14,7.4,0,272,SPY1805M257.5,0.92,-0.3,0.86,0.89,88,2220
SPY1805A258,6.54,0.34,6.76,6.86,10,59,SPY1805M258,1.05,-0.18,0.94,0.96,31,2603
SPY1805A259,5.05,-3.07,5.87,5.96,0,408,SPY1805M259,1.16,-0.36,1.07,1.11,505,359
SPY1805A260,4.78,0.34,5.01,5.11,11,914,SPY1805M260,1.38,-0.36,1.26,1.3,40,3580
SPY1805A260.5,4.21,-0.36,4.6,4.69,0,360,SPY1805M260.5,1.55,-0.3,1.38,1.41,3,281
SPY1805A261,3.62,-0.18,4.19,,0,716,SPY1805M261,1.68,-0.28,1.49,1.53,97,1406
SPY1805A261.5,4.63,0.14,3.8,3.89,0,146,SPY1805M261.5,1.66,-0.46,1.63,1.66,2,338
SPY1805A262,3.22,0.19,3.43,3.5,15,2182,SPY1805M262,1.9,-0.33,1.76,1.81,16,3246
SPY1805A262.5,3.08,0.44,3.07,3.14,104,1069,SPY1805M262.5,2.21,-0.14,1.93,1.98,39,817
SPY1805A263,2.53,0.21,2.73,2.81,256,2769,SPY1805M263,2.25,-0.55,2.11,2.16,95,3123
SPY1805A263.5,2.25,0.25,2.41,2.48,3991,4822,SPY1805M263.5,2.51,-0.51,2.3,2.37,103,889
SPY1805A264,2.05,0.24,2.12,2.16,2962,3196,SPY1805M264,2.7,-0.57,2.53,2.59,92,1210
SPY1805A264.5,1.73,0.07,1.84,1.88,4435,5528,SPY1805M264.5,3.2,-0.19,2.76,2.83,9,955
SPY1805A265,1.57,0.29,1.59,1.63,205,2993,SPY1805M265,3.41,-0.5,3.03,3.1,10,1421
SPY1805A266,1.07,0.11,1.16,1.18,981,12193,SPY1805M266,3.9,-0.48,3.64,3.71,63,1230
SPY1805A267,0.73,0.02,0.82,0.84,1303,15939,SPY1805M267,4.47,-0.52,4.33,4.41,229,1380
